,Title,published_date,Views,Likes,Comments,Month
240,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25 14:00:11+00:00,1353,55,12,Nov
241,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22 14:00:06+00:00,7664,296,27,Nov
242,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18 15:34:12+00:00,47180,1746,79,Nov
243,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11 21:12:11+00:00,6071,141,31,Nov
244,Why Selling Is An Important Data Science Skill,2019-11-04 14:57:00+00:00,1742,80,13,Nov
245,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21 16:38:58+00:00,3325,76,18,Oct
246,Why is Balance Important in Data Science?,2019-10-16 17:40:34+00:00,748,35,13,Oct
247,How to Stay Productive & Motivated When Learning Data Science,2019-09-29 00:29:59+00:00,12240,584,57,Sep
248,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21 23:04:57+00:00,4864,128,41,Sep
249,6 Habits of Successful Data Scientists,2019-09-13 04:40:51+00:00,2340,99,17,Sep
250,How To Build A Word Cloud From Scraped Data (Python),2019-09-04 01:32:06+00:00,5485,114,10,Sep
251,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26 12:42:32+00:00,530,23,29,Aug
252,Is Data Science Right For You?,2019-08-18 16:54:05+00:00,54496,1218,109,Aug
253,Data Science Fundamentals: Data Cleaning in Python,2019-08-11 20:50:23+00:00,15646,397,55,Aug
254,How To Get Data Science Experience (Without a Job),2019-08-08 01:58:40+00:00,30210,1388,77,Aug
255,Take Your Data Science Projects From Good to Great,2019-08-05 02:34:28+00:00,1695,108,11,Aug
256,The Projects You Should Do To Get A Data Science Job,2019-07-30 03:35:48+00:00,157971,5756,251,Jul
257,What Does a Data Scientist Actually Do?,2019-07-19 03:18:04+00:00,65466,1418,75,Jul
258,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13 21:09:41+00:00,13878,364,44,Jul
